Designator,Mid X,Mid Y,Layer,Rotation
C1,102.518,-98.996,T,0.0
C10,148.98,-42.7,T,180.0
C100,174.88,-106.9,T,180.0
C101,182.46,-106.9,T,180.0
C102,190.16,-106.8,T,180.0
C103,167.36,-113.9,T,180.0
C104,174.88,-113.9,T,180.0
C105,182.46,-113.9,T,180.0
C106,190.18,-113.9,T,180.0
C107,167.26,-120.9,T,180.0
C108,174.96,-120.8,T,180.0
C109,182.58,-120.8,T,180.0
C11,120.68,-126.6,T,0.0
C110,190.08,-120.8,T,180.0
C12,128.28,-126.6,T,0.0
C13,108.9,-119.1,T,0.0
C14,135.9,-126.6,T,0.0
C15,101.4,-119.0,T,0.0
C16,101.66,-112.3,T,0.0
C17,143.5,-126.6,T,0.0
C18,151.1,-126.7,T,0.0
C19,158.7,-126.6,T,0.0
C2,110.26,-102.29,T,90.0
C20,176.68,-126.6,T,0.0
C21,156.68,-119.6,T,180.0
C22,109.15,-78.49,T,90.0
C23,108.08,-78.49,T,90.0
C24,111.46,-61.62,T,0.0
C25,111.46,-63.26,T,0.0
C26,111.48,-64.91,T,0.0
C27,108.82,-68.25,T,270.0
C28,114.81,-69.16,T,270.0
C29,111.135,-72.44,T,180.0
C3,110.73,-104.01,T,0.0
C30,111.135,-74.05,T,180.0
C31,126.58,-57.9,T,180.0
C32,134.16,-57.9,T,180.0
C33,141.68,-57.9,T,180.0
C34,149.33,-57.85,T,180.0
C35,126.5,-64.9,T,180.0
C36,134.08,-64.9,T,180.0
C37,141.68,-64.8,T,180.0
C38,149.36,-64.85,T,180.0
C39,126.48,-71.8,T,180.0
C4,106.32,-99.78,T,0.0
C40,134.08,-71.8,T,180.0
C41,141.68,-71.9,T,180.0
C42,149.36,-71.85,T,180.0
C43,126.6,-78.8,T,180.0
C44,134.08,-78.8,T,180.0
C45,141.78,-78.8,T,180.0
C46,149.33,-78.85,T,180.0
C47,126.48,-85.8,T,180.0
C48,134.06,-85.8,T,180.0
C49,141.7,-85.8,T,180.0
C5,110.83,-108.05,T,180.0
C50,149.26,-85.8,T,180.0
C51,126.48,-92.9,T,180.0
C52,134.08,-92.8,T,180.0
C53,141.66,-92.8,T,180.0
C54,149.28,-92.8,T,180.0
C55,126.48,-99.8,T,180.0
C56,134.08,-99.9,T,180.0
C57,141.68,-99.8,T,180.0
C58,149.28,-99.8,T,180.0
C59,126.58,-106.8,T,180.0
C6,99.68,-105.09,T,90.0
C60,134.06,-106.9,T,180.0
C61,141.68,-106.9,T,180.0
C62,149.28,-106.9,T,180.0
C63,126.6,-113.8,T,180.0
C64,134.06,-113.8,T,180.0
C65,141.68,-113.8,T,180.0
C66,149.28,-113.8,T,180.0
C67,126.48,-120.7,T,180.0
C68,134.08,-120.7,T,180.0
C69,141.68,-120.7,T,180.0
C7,126.46,-42.6,T,180.0
C70,149.18,-120.7,T,180.0
C71,167.28,-57.9,T,180.0
C72,174.88,-57.9,T,180.0
C73,182.58,-57.9,T,180.0
C74,190.08,-57.9,T,180.0
C75,167.28,-64.9,T,180.0
C76,174.88,-64.9,T,180.0
C77,182.48,-64.9,T,180.0
C78,190.08,-64.9,T,180.0
C79,167.38,-71.9,T,180.0
C8,133.76,-42.6,T,180.0
C80,174.88,-71.9,T,180.0
C81,182.48,-71.9,T,180.0
C82,190.08,-71.9,T,180.0
C83,167.38,-78.9,T,180.0
C84,174.88,-78.9,T,180.0
C85,182.48,-78.9,T,180.0
C86,190.06,-78.9,T,180.0
C87,167.28,-85.9,T,180.0
C88,174.96,-85.9,T,180.0
C89,182.48,-85.9,T,180.0
C9,141.28,-42.6,T,180.0
C90,190.08,-85.9,T,180.0
C91,167.28,-92.9,T,180.0
C92,174.88,-92.9,T,180.0
C93,182.48,-92.9,T,180.0
C94,190.08,-92.9,T,180.0
C95,167.28,-99.9,T,180.0
C96,174.88,-99.9,T,180.0
C97,182.46,-99.9,T,180.0
C98,190.18,-99.9,T,180.0
C99,167.28,-106.9,T,180.0
D1,114.564,-49.114,T,90.0
D10,102.29,-92.19,T,270.0
D11,104.522,-92.2195,T,270.0
D12,126.28,-54.4,T,270.0
D13,133.88,-54.4,T,270.0
D14,141.48,-54.4,T,270.0
D15,149.08,-54.4,T,270.0
D16,126.28,-61.4,T,270.0
D17,133.88,-61.4,T,270.0
D18,141.48,-61.4,T,270.0
D19,149.08,-61.4,T,270.0
D2,113.178,-91.326,T,180.0
D20,126.28,-68.4,T,270.0
D21,133.88,-68.4,T,270.0
D22,141.48,-68.4,T,270.0
D23,149.08,-68.4,T,270.0
D24,126.28,-75.3,T,270.0
D25,133.88,-75.3,T,270.0
D26,141.48,-75.4,T,270.0
D27,149.08,-75.4,T,270.0
D28,126.28,-82.3,T,270.0
D29,133.88,-82.3,T,270.0
D3,126.28,-39.2,T,270.0
D30,141.48,-82.3,T,270.0
D31,149.08,-82.3,T,270.0
D32,126.28,-89.3,T,270.0
D33,133.88,-89.3,T,270.0
D34,141.48,-89.3,T,270.0
D35,149.08,-89.3,T,270.0
D36,126.28,-96.3,T,270.0
D37,133.88,-96.3,T,270.0
D38,141.48,-96.3,T,270.0
D39,149.08,-96.3,T,270.0
D4,133.88,-39.2,T,270.0
D40,126.28,-103.4,T,270.0
D41,133.88,-103.4,T,270.0
D42,141.48,-103.4,T,270.0
D43,149.08,-103.4,T,270.0
D44,126.28,-110.3,T,270.0
D45,133.88,-110.3,T,270.0
D46,141.48,-110.35,T,270.0
D47,149.08,-110.3,T,270.0
D48,126.28,-117.3,T,270.0
D49,133.88,-117.3,T,270.0
D5,141.48,-39.2,T,270.0
D50,141.48,-117.3,T,270.0
D51,149.08,-117.3,T,270.0
D52,167.08,-54.382,T,270.0
D53,174.68,-54.382,T,270.0
D54,182.28,-54.382,T,270.0
D55,189.826,-54.382,T,270.0
D56,167.08,-61.382,T,270.0
D57,174.68,-61.382,T,270.0
D58,182.28,-61.382,T,270.0
D59,189.826,-61.382,T,270.0
D6,149.08,-39.2,T,270.0
D60,167.08,-68.382,T,270.0
D61,174.68,-68.382,T,270.0
D62,182.28,-68.382,T,270.0
D63,189.826,-68.382,T,270.0
D64,167.08,-75.382,T,270.0
D65,174.68,-75.382,T,270.0
D66,182.28,-75.382,T,270.0
D67,189.826,-75.382,T,270.0
D68,167.08,-82.382,T,270.0
D69,174.68,-82.382,T,270.0
D70,182.28,-82.382,T,270.0
D71,189.826,-82.382,T,270.0
D72,167.08,-89.382,T,270.0
D73,174.68,-89.382,T,270.0
D74,182.28,-89.382,T,270.0
D75,189.826,-89.382,T,270.0
D76,167.08,-96.382,T,270.0
D77,174.68,-96.382,T,270.0
D78,182.28,-96.382,T,270.0
D79,189.826,-96.382,T,270.0
D80,167.08,-103.382,T,270.0
D81,174.68,-103.382,T,270.0
D82,182.28,-103.382,T,270.0
D83,189.826,-103.382,T,270.0
D84,167.08,-110.382,T,270.0
D85,174.68,-110.382,T,270.0
D86,182.28,-110.382,T,270.0
D87,189.826,-110.382,T,270.0
D88,167.08,-117.382,T,270.0
D89,174.68,-117.382,T,270.0
D90,182.28,-117.382,T,270.0
D91,189.826,-117.382,T,270.0
D92,106.88,-41.5,T,360.0
J2,98.9,-59.8,T,270.0
L1,105.36,-70.13,T,90.0
Q1,100.72,-84.63,T,360.0
Q10,160.78,-58.35,T,270.0
Q11,124.48,-46.5,T,270.0
Q2,107.002,-84.232,T,450.0
Q3,120.28,-63.1,T,270.0
Q4,119.59,-37.73,T,180.0
Q5,120.45,-41.36,T,180.0
Q6,119.79,-78.51,T,180.0
Q7,119.77,-82.14,T,180.0
Q8,119.87,-100.16,T,180.0
Q9,119.88,-103.79,T,180.0
R1,102.508,-97.926,T,0.0
R10,106.592,-86.602,T,180.0
R11,116.17,-69.74,T,90.0
R12,116.18,-66.63,T,90.0
R13,120.29,-65.5,T,0.0
R14,116.89,-37.61,T,270.0
R15,117.906,-41.796,T,90.0
R16,117.43,-78.95,T,270.0
R17,117.41,-82.57,T,90.0
R18,117.38,-99.72,T,270.0
R19,117.44,-104.23,T,90.0
R2,114.566,-51.734,T,90.0
R20,119.79,-60.7,T,0.0
R21,160.89,-60.8,T,0.0
R22,160.29,-56.0,T,0.0
R23,124.49,-48.9,T,0.0
R24,124.97,-44.1,T,180.0
R25,108.31,-56.9,T,180.0
R26,108.31,-58.1,T,180.0
R27,185.5,-37.91,T,270.0
R28,158.9,-40.11,T,270.0
R29,160.8,-93.51,T,270.0
R3,115.864,-91.298,T,180.0
R4,143.47,-125.4,T,180.0
R5,151.07,-125.5,T,180.0
R6,103.3,-75.4,T,0.0
R7,104.392,-83.732,T,90.0
R8,102.26,-89.36,T,90.0
R9,104.522,-89.502,T,90.0
SW10,157.0,-130.0,T,0.0
SW11,175.0,-130.0,T,0.0
SW12,158.38,-116.4,T,180.0
SW13,179.0,-37.4,T,90.0
SW14,163.2,-37.4,T,270.0
SW15,158.38,-88.7,T,0.0
SW2,119.0,-130.0,T,0.0
SW3,126.6,-130.0,T,0.0
SW4,107.48,-122.4,T,0.0
SW5,134.2,-130.0,T,0.0
SW6,100.0,-122.4,T,0.0
SW7,100.0,-115.7,T,0.0
SW8,141.8,-130.0,T,0.0
SW9,149.4,-130.0,T,0.0
U1,105.558,-104.516,T,540.0
U2,102.862,-79.142,T,450.0
U3,112.01,-67.73,T,360.0
